data_classification,participant_id,question,expected_online,information_found_online,correct_answer_found
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0001,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0001,high_school,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0001,birth_city,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0001,mothers_maiden_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0001,first_pet_name,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0001,wedding_location,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0001,street_grew_up_on,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0001,first_car_model,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0001,favorite_sports_team,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0001,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0002,current_employer,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0002,high_school,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0002,birth_city,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0002,mothers_maiden_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0002,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0002,wedding_location,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0002,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0002,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0002,favorite_sports_team,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0002,favorite_food,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0003,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0003,high_school,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0003,birth_city,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0003,mothers_maiden_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0003,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0003,wedding_location,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0003,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0003,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0003,favorite_sports_team,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0003,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0004,current_employer,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0004,high_school,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0004,birth_city,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0004,mothers_maiden_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0004,first_pet_name,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0004,wedding_location,False,False,False
